,,,,,163,165,186,151,208,167,203,193,192,171,234,175
,,,,,316,313,359,335,334,343,415,367,384,379,382,390
,,,,,4,2,1,6,3,1,2,2,3,2,3,1
,,,,,140,128,159,107,153,123,142,146,125,131,126,149
,,,,,135,118,110,110,144,147,138,148,139,138,104,90
,,,,,179,163,154,142,169,153,147,151,151,154,146,147
,,,,,7,6,12,7,5,2,8,11,5,5,11,8
,,,,,106,121,145,157,159,126,114,132,181,155,192,180
,,,,,0,1,0,0,1,0,0,0,0,0,0,0
,,,,,0,0,1,0,0,0,0,0,0,0,0,0
,,,,,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,0,1,2,0,0,1,0,1,0,0,0,2
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,1,0,0,0,0,0,0,0,0,0,1
,,,,,0,1,0,1,0,0,0,0,1,0,0,0
,,,,,0,1,0,1,0,0,0,0,0,0,0,0
,,,,,1,0,6,1,1,1,2,0,4,3,3,2
,,,,,2,0,7,3,1,0,1,1,2,1,4,0
Possession of Weapons,Greenwich,251,,,1,5,2,2,1,2,2,1,2,3,4,1
,,,,,2,3,4,4,2,3,9,1,4,5,5,5
,,,,,2,5,11,8,9,2,4,3,5,3,3,0
,,,,,0,0,1,0,0,0,4,0,0,1,0,0
,,,,,0,0,0,1,0,0,0,0,0,0,0,0
Public Order Offences,Greenwich,1832,,,5,1,0,4,6,0,1,2,2,1,0,3
,,,,,0,0,0,0,1,1,1,1,2,2,1,2
,,,,,1,0,0,0,1,0,2,1,1,2,2,2
,,,,,0,0,0,1,0,0,0,0,0,0,0,0
Robbery,Greenwich,874,,,4,0,3,3,3,3,2,0,4,7,6,3
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Sexual Offences,Greenwich,806,,,7,8,6,6,9,10,6,17,13,12,6,10
,,,,,1,1,1,0,1,0,0,2,0,0,2,0
Theft,Greenwich,5728,,,5,2,1,4,0,1,2,1,1,6,2,2
,,,,,10,4,11,5,7,9,8,3,7,8,11,8
,,,,,6,11,25,23,22,13,24,14,20,16,15,12
,,,,,78,82,111,84,122,135,126,121,112,121,128,120
Vehicle Offences,Greenwich,4698,,,29,42,48,59,52,32,51,46,21,46,29,24
,,,,,0,0,0,0,0,6,0,1,0,0,0,0
,,,,,9,15,10,9,15,9,13,11,14,19,7,19
,,,,,108,140,140,149,140,135,162,130,136,203,171,160
Violence Against the Person,Greenwich,8220,,,33,33,30,35,29,37,42,28,24,33,46,35
,,,,,37,15,22,27,31,17,30,21,24,24,17,25
,,,,,105,111,117,128,119,97,142,117,166,141,94,49
Arson and Criminal Damage,Hackney,1799,,,767,791,785,792,831,732,781,652,743,889,834,745
,,,,,134,140,157,135,138,138,130,134,113,128,139,119
Burglary,Hackney,3354,,,307,383,484,403,317,350,412,387,387,554,501,421
,,,,,1,2,4,1,1,3,4,3,2,1,2,0
Drug Offences,Hackney,1706,,,54,35,38,29,26,48,33,26,25,38,44,39
,,,,,253,252,242,221,171,215,235,246,294,235,217,228
Miscellaneous Crimes Against Society,Hackney,297,,,57,47,54,37,40,53,45,41,59,56,62,37
,,,,,0,2,0,1,0,0,1,1,3,0,0,0
,,,,,161,221,188,168,200,180,227,200,187,211,184,179
,,,,,309,278,367,359,363,378,404,405,369,388,342,372
,,,,,5,10,16,6,7,4,16,6,10,4,7,10
,,,,,173,197,197,179,201,185,214,226,190,208,195,193
,,,,,49,69,53,33,48,41,38,55,46,51,46,45
,,,,,208,169,214,166,156,125,201,179,206,248,210,170
,,,,,9,9,12,7,22,12,9,14,19,34,7,7
,,,,,158,191,233,159,207,203,216,212,202,182,173,160
