MajorText,Borough,AvgCrime2019
Possession of Weapons,Lewisham,322
,,
,,
,,
Public Order Offences,Lewisham,1887
,,
,,
,,
Robbery,Lewisham,1263
,,
Sexual Offences,Lewisham,672
,,
Theft,Lewisham,5574
,,
,,
,,
Vehicle Offences,Lewisham,4267
,,
,,
,,
Violence Against the Person,Lewisham,8501
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Arson and Criminal Damage,Merton,1107
,,
Burglary,Merton,1583
,,
Drug Offences,Merton,694
,,
Miscellaneous Crimes Against Society,Merton,200
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Merton,105
,,
,,
,,
,,
Public Order Offences,Merton,921
,,
,,
,,
Robbery,Merton,426
,,
Sexual Offences,Merton,339
,,
Theft,Merton,3108
,,
,,
,,
Vehicle Offences,Merton,2073
,,
,,
,,
Violence Against the Person,Merton,3961
,,
,,
Arson and Criminal Damage,Newham,2199
,,
Burglary,Newham,2263
,,
Drug Offences,Newham,3056
,,
Miscellaneous Crimes Against Society,Newham,455
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Newham,357
,,
,,
,,
Public Order Offences,Newham,1971
,,
,,
,,
Robbery,Newham,1909
,,
Sexual Offences,Newham,907
,,
Theft,Newham,9423
,,
,,
,,
Vehicle Offences,Newham,4518
,,
,,
,,
Violence Against the Person,Newham,9239
,,
,,
Arson and Criminal Damage,Redbridge,1518
,,
Burglary,Redbridge,2163
,,
Drug Offences,Redbridge,1292
,,
Miscellaneous Crimes Against Society,Redbridge,275
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Redbridge,162
,,
,,
,,
,,
Public Order Offences,Redbridge,1226
,,
,,
,,
Robbery,Redbridge,1004
,,
Sexual Offences,Redbridge,481
,,
Theft,Redbridge,4876
,,
,,
,,
Vehicle Offences,Redbridge,4872
,,
,,
,,
Violence Against the Person,Redbridge,6310
,,
,,
Arson and Criminal Damage,Richmond upon Thames,1006
,,
Burglary,Richmond upon Thames,1524
,,
Drug Offences,Richmond upon Thames,347
,,
Miscellaneous Crimes Against Society,Richmond upon Thames,115
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Richmond upon Thames,60
,,
,,
,,
Public Order Offences,Richmond upon Thames,850
,,
,,
Robbery,Richmond upon Thames,431
,,
Sexual Offences,Richmond upon Thames,276
,,
Theft,Richmond upon Thames,2997
,,
,,
,,
Vehicle Offences,Richmond upon Thames,2367
,,
,,
,,
Violence Against the Person,Richmond upon Thames,2962
,,
,,
Arson and Criminal Damage,Southwark,2139
,,
Burglary,Southwark,3274
,,
Drug Offences,Southwark,2666
,,
Miscellaneous Crimes Against Society,Southwark,399
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Southwark,376
,,
,,
,,
,,
Public Order Offences,Southwark,2096
,,
,,
,,
Robbery,Southwark,2466
,,
Sexual Offences,Southwark,782
,,
Theft,Southwark,12872
,,
,,
,,
Vehicle Offences,Southwark,4025
,,
,,
,,
Violence Against the Person,Southwark,8966
,,
,,
Arson and Criminal Damage,Sutton,1152
,,
Burglary,Sutton,1361
,,
Drug Offences,Sutton,585
,,
Miscellaneous Crimes Against Society,Sutton,170
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Sutton,102
,,
,,
,,
,,
Public Order Offences,Sutton,940
,,
,,
Robbery,Sutton,289
,,
Sexual Offences,Sutton,282
,,
Theft,Sutton,2661
,,
,,
,,
Vehicle Offences,Sutton,2175
,,
,,
,,
Violence Against the Person,Sutton,4236
,,
,,
Arson and Criminal Damage,Tower Hamlets,2093
,,
Burglary,Tower Hamlets,3213
,,
Drug Offences,Tower Hamlets,2491
,,
Miscellaneous Crimes Against Society,Tower Hamlets,403
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Tower Hamlets,306
,,
,,
,,
,,
Public Order Offences,Tower Hamlets,2266
,,
,,
,,
Robbery,Tower Hamlets,1464
,,
Sexual Offences,Tower Hamlets,795
,,
Theft,Tower Hamlets,9449
,,
,,
,,
Vehicle Offences,Tower Hamlets,4251
,,
,,
,,
Violence Against the Person,Tower Hamlets,8658
,,
,,
Arson and Criminal Damage,Waltham Forest,1688
,,
Burglary,Waltham Forest,1962
,,
Drug Offences,Waltham Forest,1784
,,
Miscellaneous Crimes Against Society,Waltham Forest,294
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Waltham Forest,248
,,
,,
,,
,,
Public Order Offences,Waltham Forest,1253
,,
,,
,,
Robbery,Waltham Forest,838
,,
Sexual Offences,Waltham Forest,493
,,
Theft,Waltham Forest,5185
,,
,,
,,
Vehicle Offences,Waltham Forest,4345
,,
,,
,,
Violence Against the Person,Waltham Forest,6137
,,
,,
Arson and Criminal Damage,Wandsworth,1640
,,
Burglary,Wandsworth,2723
,,
Drug Offences,Wandsworth,957
,,
Miscellaneous Crimes Against Society,Wandsworth,287
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Wandsworth,176
,,
,,
,,
,,
Public Order Offences,Wandsworth,1663
,,
,,
,,
Robbery,Wandsworth,889
,,
Sexual Offences,Wandsworth,707
,,
Theft,Wandsworth,6454
,,
,,
,,
Vehicle Offences,Wandsworth,4214
,,
,,
,,
Violence Against the Person,Wandsworth,6652
,,
,,
Arson and Criminal Damage,Westminster,2399
,,
Burglary,Westminster,4646
,,
Drug Offences,Westminster,3406
,,
Miscellaneous Crimes Against Society,Westminster,403
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Westminster,480
,,
,,
,,
,,
Public Order Offences,Westminster,3483
,,
,,
,,
Robbery,Westminster,4469
,,
Sexual Offences,Westminster,1155
,,
Theft,Westminster,46546
,,
,,
,,
Vehicle Offences,Westminster,4895
,,
,,
,,
Violence Against the Person,Westminster,11122
